energy,counts,error
0.05859375,2.53196467735464,1.15898991177557
0.1171875,3.95194830917021,1.16931261854822
0.17578125,4.68978428404797,1.17982203825942
0.234375,6.03649704114834,1.19052331163609
0.29296875,2.24199250054063,1.20142177079175
0.3515625,1.65142747766068,1.21252294825304
0.41015625,3.49776619978821,1.22383258650365
0.46875,3.27903471834103,1.2353566480807
0.52734375,0.188088137057179,1.24710132626132
0.5859375,4.46661610076882,1.25907305638023
0.64453125,2.72625412582625,1.2712785278222
0.703125,2.74934180929685,1.28372469673713
0.76171875,5.62532990306567,1.29641879952899
0.8203125,4.63100337797908,1.30936836717441
0.87890625,2.95567239328178,1.32258124043118
0.9375,1.38015319529525,1.33606558600198
0.99609375,2.06726190814334,1.34982991372429
1.0546875,1.8143524541592,1.36388309486351
1.11328125,4.31300032508276,1.37823438159294
1.171875,4.6365988149497,1.39289342775169
1.23046875,4.12288584363572,1.40787031097959
1.2890625,6.44482710992893,1.4231755563372
1.34765625,2.48750127953992,1.43882016152871
1.40625,3.09811756271708,1.45481562385634
1.46484375,5.63552681624835,1.47117396904696
1.5234375,3.02354334236366,1.48790778210456
1.58203125,5.01763114456847,1.50503024035726
1.640625,2.94787454739628,1.5225551488834
1.69921875,5.75957822149457,1.54049697851933
1.7578125,2.87120759699591,1.55887090667178
1.81640625,5.75126905316042,1.57769286117952
1.875,7.26520900373369,1.59697956749412
1.93359375,3.48215201427724,1.61674859947712
1.9921875,6.3168477878618,1.63701843414178
2.05078125,6.57191841992883,1.65780851070215
2.109375,4.98742269919841,1.67913929433068
2.16796875,4.72340780446506,1.70103234506931
2.2265625,4.45343495494996,1.72351039238702
2.28515625,4.35196356696849,1.74659741593231
2.34375,7.61247464305565,1.77031873309005
2.40234375,3.42625092286255,1.7947010940223
2.4609375,4.03773203938213,1.81977278495083
2.51953125,3.74509815387787,1.84556374052849
2.578125,8.31293812496577,1.87210566624722
2.63671875,5.03801292423703,1.89943217194524
2.6953125,7.45038150944638,1.92757891760639
2.75390625,2.50202764620946,1.9565837727933
2.8125,6.54207666367716,1.98648699122582
2.87109375,3.44709516347136,2.01733140221066
2.9296875,9.68264390213934,2.04916262085095
2.98828125,5.91844006368737,2.08202927922051
3.046875,7.95857354208518,2.11598328098249
3.10546875,8.77822560262112,2.15108008227234
3.1640625,5.69093739761691,2.18737900205843
3.22265625,8.28534000971702,2.22494356564994
3.28125,5.54029076289121,2.26384188555147
3.33984375,7.078679078475,2.30414708448118
3.3984375,11.4915182047201,2.34593776608996
